config,NLL,ACC,BRIER,ECE
student-t_scale1.0_lr0.001_H1200_bs100,0.0969 ± 0.0135,0.9805 ± 0.0008,0.0299 ± 0.0022,0.0030 ± 0.0006
horseshoe_scale0.1_lr0.1_H1200_bs100,nan ± nan,0.0980 ± 0.0000,nan ± nan,0.0000 ± 0.0000
horseshoe_scale1.0_lr0.001_H1200_bs100,0.0939 ± 0.0234,0.9805 ± 0.0027,0.0296 ± 0.0034,0.0033 ± 0.0017
laplace_scale1.0_lr0.0001_H1200_bs100,0.1827 ± 0.0134,0.9670 ± 0.0019,0.0511 ± 0.0015,0.0057 ± 0.0004
horseshoe_scale1.0_lr0.1_H1200_bs100,nan ± nan,0.0980 ± 0.0000,nan ± nan,0.0000 ± 0.0000
horseshoe_scale1.0_lr0.0001_H1200_bs100,0.1801 ± 0.0081,0.9671 ± 0.0026,0.0511 ± 0.0013,0.0061 ± 0.0012
laplace_scale1.0_lr0.01_H1200_bs100,nan ± nan,0.0979 ± 0.0013,nan ± nan,0.0467 ± 0.1112
horseshoe_scale0.1_lr0.0001_H1200_bs100,0.1852 ± 0.0213,0.9670 ± 0.0022,0.0510 ± 0.0017,0.0055 ± 0.0003
laplace_scale1.0_lr0.001_H1200_bs100,0.0983 ± 0.0218,0.9805 ± 0.0039,0.0297 ± 0.0032,0.0034 ± 0.0031
horseshoe_scale0.1_lr0.001_H1200_bs100,0.0980 ± 0.0152,0.9807 ± 0.0042,0.0298 ± 0.0028,0.0035 ± 0.0017
horseshoe_scale1.0_lr0.01_H1200_bs100,nan ± nan,0.0980 ± 0.0000,nan ± nan,0.0171 ± 0.0735
student-t_scale1.0_lr0.0001_H1200_bs100,0.1896 ± 0.0199,0.9670 ± 0.0014,0.0512 ± 0.0004,0.0055 ± 0.0016
student-t_scale1.0_lr0.1_H1200_bs100,nan ± nan,0.0980 ± 0.0000,nan ± nan,0.0000 ± 0.0000
gaussian_scale1.0_lr0.0001_H1200_bs100,0.1634 ± 0.0200,0.9672 ± 0.0044,0.0505 ± 0.0009,0.0088 ± 0.0026
gaussian_scale1.0_lr0.01_H1200_bs100,2.3562 ± 0.2144,0.1189 ± 0.0177,0.9050 ± 0.0266,0.0571 ± 0.0632
horseshoe_scale0.1_lr0.01_H1200_bs100,nan ± nan,0.1033 ± 0.0227,nan ± nan,0.0107 ± 0.0459
student-t_scale1.0_lr0.01_H1200_bs100,nan ± nan,0.1030 ± 0.0230,nan ± nan,0.0405 ± 0.1123
gaussian_scale1.0_lr0.001_H1200_bs100,0.0750 ± 0.0058,0.9808 ± 0.0007,0.0312 ± 0.0006,0.0132 ± 0.0032
horseshoe_scale0.01_lr0.1_H1200_bs100,nan ± nan,0.0980 ± 0.0000,nan ± nan,0.0000 ± 0.0000
NA_scale1.0_lr0.0001_H1200_bs100,0.1808 ± 0.0213,0.9669 ± 0.0027,0.0508 ± 0.0019,0.0061 ± 0.0026
